edad,comentario,lugar,genero,comentario_cleaned
20,"creo que no es un lugar al cual sea un punto de interes para conocer, me parece que hay demasiada contaminacion, es muy peligroso y no hay nada interesante que puedas hacer",salvatierra,hombre,lugar punto inter demasiado contaminacion peligroso interesante poder
18,tiene sus puntos tanto buenos como malos pero nunca es malo intentar cosas nuevas y si tiene una comodidad bastante buena y con convivencia pues mayormente,salamanca,hombre,punto malo malo intentar cosa comodidad convivencia mayormente
22,"en general me parece una ciudad que nos destaca por tener atractivo turistico o algo que motive a la gente a querer visitar la ciudad, no es visualmente muy bonita en su mayoria y si tiene un olor no muy agradable",dolores hidalgo,hombre,general ciudad destacar atractivo turistico motivir gente querer visitar ciudad visualmente bonito mayoria olor agradable
23,"es una cuidad chica, por ende, no hay mucha variedad de comida, lugares, souvenirs u atracciones, aparte de que siento que no tenemos tanta cultura y esta el tema de la inseguridad tambien.",salamanca,mujer,cuidad chico ende variedad comida lugar souvenirs atraccion aparte sentir tanto cultura tema inseguridad
22,"soy foraneo, vengo y regreso diario, no he visto mucho y no viajo mucho asi que no podria dar una opinion muy completa",celaya,hombre,foraneo venir regreso diario ver viajar opinion completo
22,"es muy inseguro, los transportes son caros al igual que ciertas comidas.",salamanca,mujer,inseguro transporte caro comida
22,"creo que el transporte, por ejemplo en mi caso, ya que desconozco si los demas son iguales, no deberia limitarse a las 7pm, porque muchas veces necesitamos regresar mas tarde incluso 7:30 y ya toca pedir un uber que es mas caro. tambien considero que hay muy pocas cosas para hacer e incluso para comer cuando el plan se limita a ""vamos a salir a comer"" porque no hay mucha comida de buena relacion calidad-precio. y pues tambien creo que deberia de cuidarse la higiene y comodidad del transporte publico, porque creo que si es deficiente. y que los conductores no se ofendan cuando les pagues ""precio de estudiante"".",valle de santiago,mujer,transporte ejemplo caso desconocer dema igual deberio limitar el necesitar regresar 730 tocar pedir uber caro considerar cosa comer plan limitar salir comer comida relacion calidadprecio deberio cuidar el higiene comodidad transporte publico deficiente conductor ofendar paguser precio estudiante
23,"creo que tiene mucho potencial, en especial en cuanto a la gastronomia y las actividades culturales",irapuato,mujer,potencial especial gastronomia actividad cultural
21,"lugar pequeno, sin muchas atracciones, nada llamativo",irapuato,mujer,lugar pequeno atraccion llamativo
21,"salamanca es un lugar muy hostil, no lo recomendaria para visitar pero o lo dejaria de ultima opcion ya que son contados los lugares ""bonitos"" que uno encuentra en facebook",leon,mujer,salamanca lugar hostil recomendario visitar dejaria ultima opcion contar lugar bonito facebook
25,"creo que salamanca podria ser una buena ciudad si el gobierno quisiera hacerla crecer, pero hay mucha inseguridad y todo se ve muy descuidado",irapuato,mujer,salamanca ciudad gobierno querer hacer el crecer inseguridad descuidado
21,"aunque la gente salmantino sea variada en cuanto amabilidad, salamanca actualmente es un lugar para evitar, se esta convirtiendo en lugar fantasma por la inseguridad, llevando se asi la gastronomia y cultura que salamanca tenia y que al dia de hoy se estan perdiendo por falta de seguridad",salamanca,mujer,gente salmantino variar amabilidad salamanca actualmente lugar evitar convertir lugar fantasma inseguridad llevar gastronomia cultura salamanca tenia perder falta seguridad
19,"es una ciudad con oportunidades laborales y estudiantiles decentes y se puede tener una calidad de vida buena, aun asi cuenta con zonas muy inseguras, poca recreacion y mucha contaminacion, aunque con grandes personas.",salvatierra,hombre,ciudad oportunidad laboral estudiantil decente calidad vida zona insegura recreacion contaminacion persona
19,aventura,salvatierra,mujer,aventura
20,"salamanca es un muy buen lugar, tiene muchos lugares accesibles precios bastante buenos, lugares que puedes ir conociendo poco a poco y aunque la inseguridad y tambien el propio gobierno a veces no ayuda, el poder estar con muchas personas y que muchas sean calidas y te puedas llevar bien es lo que lo caracteriza de todo, es un lugar muy resiliente la verdad",orizaba,hombre,salamanca lugar lugar accesibl precio lugar poder conocer inseguridad gobierno ayudar persona calir poder caracterizar lugar resiliente
20,,leon,hombre,
