cluster,indice_global,sim_coseno_tfidf,sim_coseno_reducido,top_en_tfidf,top_en_reducido,coincide_en_ambos,comentario_cleaned,comentario,genero,lugar,edad
6,78,0.57735,0.983839,True,True,True,lugar inseguro,es un lugar un poco inseguro,mujer,salamanca,20
6,36,0.57735,0.976671,True,False,False,pesimo sistema transporte horario vespertino semana sucio calle gobierno hablar cultura valorar paisaje natural increibl privatizado ecoparque agradable seco estanque variedad gastronomia precio turistico potencial lastimo gobierno interesar,"pesimo sistema de transporte en horarios vespertinos o de fin de semana, muy sucias sus calles, su gobierno ni hablar, sin embargo, tiene mucha cultura solo q no es valorada como es debido y vaya q si tiene paisajes naturales increibles, aunque privatizados y el ecoparque tambien es agradable, aunque seco el estanque ;( y la variedad de gastronomia como sus precios son muy buenos. en la parte turistica tiene mucho potencial lastima q al gobierno no le interesa.",mujer,guanajuato,27
6,86,0.57735,0.976671,True,False,False,lugar peligroso adaptar,es un lugar peligroso pero te adaptas,mujer,villagran,18
7,46,0.707107,0.999999,False,True,False,malo salamanca provenir inseguridad falta zona recreativo,"creo que todo lo malo de salamanca proviene de la inseguridad, y que hacen falta mas zonas para lo recreativo",hombre,salamanca,21
7,96,0.707107,0.999999,True,True,True,lugar inseguro contaminado aburrido atractivo apto turismo,"es un lugar bastante inseguro, contaminado, aburrido y poco atractivo, no es muy apto para el turismo",hombre,salamanca,20
7,8,0.707107,0.999999,True,False,False,,,hombre,leon,20
7,58,0.707107,0.999999,True,True,True,cuidad chico ende variedad comida lugar souvenirs atraccion aparte sentir tanto cultura tema inseguridad,"es una cuidad chica, por ende, no hay mucha variedad de comida, lugares, souvenirs u atracciones, aparte de que siento que no tenemos tanta cultura y esta el tema de la inseguridad tambien.",mujer,salamanca,23
8,31,1.0,1.0,True,True,True,ciudad potencial turistico brutalmente abandonado descuidar,una ciudad con potencial turistico pero brutalmente abandonada y descuidada,hombre,salamanca,21
8,81,1.0,1.0,True,True,True,ciudad sucio mexico cerca refineria disgustar colocar sede ciudad tanto inseguridad suciedad,es de las ciudades mas sucias de mexico por tener aqui cerca la refineria. me disgusta que se haya colocado una sede de la ug en una ciudad con tanta inseguridad y suciedad.,mujer,guanajuato,20
9,12,1.0,1.0,True,True,True,cosa mayoria quedar lejos lugar delincuencia violencia poner malo finta ciudad general mala experiencia realmente gustariar quedar recomendar vengar vivir estudiar,"tiene muy pocas cosas para hacer, y las que hay en su mayoria quedan lejos. asi como muchos lugares, la delincuencia y violencia que hay ponen en muy mala finta a la ciudad. en general, aunque no he tenido muy malas experiencias, realmente no me gustaria quedarme ni recomendar que vengan a vivir/estudiar aqui",mujer,leon,20
9,62,1.0,1.0,True,True,True,potencial especial gastronomia actividad cultural,"creo que tiene mucho potencial, en especial en cuanto a la gastronomia y las actividades culturales",mujer,irapuato,23
