rank,ngrama,modelo,reduccion,score_ranking,silhouette,n_clusters,n_ruido,pct_ruido,inercia,codo_k,hiperparametros
27,bigramas,kmeans,UMAP,0.073535,0.507641,10,0,0.0,27.9466,3.0,k=10
1,trigramas,dbscan,UMAP,0.11041,0.126908,16,13,0.13,,,"eps=0.3,min_samples=2"
2,trigramas,dbscan,UMAP,0.095665,0.127553,10,25,0.25,,,"eps=0.3,min_samples=3"
3,trigramas,dbscan,UMAP,0.092423,0.440109,3,79,0.79,,,"eps=0.3,min_samples=5"
4,trigramas,dbscan,UMAP,0.079957,0.195018,5,59,0.59,,,"eps=0.3,min_samples=4"
1,trigramas,jerarquico,PCA,0.494757,0.494757,10,0,0.0,,,"k=10,metodo=ward"
2,trigramas,jerarquico,PCA,0.486224,0.486224,10,0,0.0,,,"k=10,metodo=complete"
3,trigramas,jerarquico,PCA,0.475143,0.475143,9,0,0.0,,,"k=9,metodo=ward"
4,trigramas,jerarquico,PCA,0.472515,0.472515,9,0,0.0,,,"k=9,metodo=complete"
5,trigramas,jerarquico,PCA,0.470736,0.470736,10,0,0.0,,,"k=10,metodo=average"
6,trigramas,jerarquico,PCA,0.466396,0.466396,8,0,0.0,,,"k=8,metodo=complete"
7,trigramas,jerarquico,PCA,0.464926,0.464926,9,0,0.0,,,"k=9,metodo=average"
8,trigramas,jerarquico,PCA,0.46431,0.46431,8,0,0.0,,,"k=8,metodo=average"
9,trigramas,jerarquico,PCA,0.447437,0.447437,8,0,0.0,,,"k=8,metodo=ward"
10,trigramas,jerarquico,PCA,0.432972,0.432972,7,0,0.0,,,"k=7,metodo=average"
11,trigramas,jerarquico,PCA,0.431671,0.431671,7,0,0.0,,,"k=7,metodo=ward"
12,trigramas,jerarquico,PCA,0.428082,0.428082,7,0,0.0,,,"k=7,metodo=complete"
13,trigramas,jerarquico,PCA,0.398042,0.398042,2,0,0.0,,,"k=2,metodo=average"
14,trigramas,jerarquico,PCA,0.394233,0.394233,6,0,0.0,,,"k=6,metodo=ward"
15,trigramas,jerarquico,PCA,0.39342,0.39342,2,0,0.0,,,"k=2,metodo=single"
16,trigramas,jerarquico,PCA,0.392216,0.392216,4,0,0.0,,,"k=4,metodo=ward"
17,trigramas,jerarquico,PCA,0.392045,0.392045,6,0,0.0,,,"k=6,metodo=average"
18,trigramas,jerarquico,PCA,0.382223,0.382223,5,0,0.0,,,"k=5,metodo=ward"
19,trigramas,jerarquico,PCA,0.367134,0.367134,6,0,0.0,,,"k=6,metodo=complete"
20,trigramas,jerarquico,PCA,0.353299,0.353299,3,0,0.0,,,"k=3,metodo=ward"
21,trigramas,jerarquico,PCA,0.351302,0.351302,5,0,0.0,,,"k=5,metodo=complete"
22,trigramas,jerarquico,PCA,0.339001,0.339001,2,0,0.0,,,"k=2,metodo=ward"
23,trigramas,jerarquico,PCA,0.330537,0.330537,5,0,0.0,,,"k=5,metodo=average"
24,trigramas,jerarquico,TSNE,0.323715,0.323715,3,0,0.0,,,"k=3,metodo=ward"
25,trigramas,jerarquico,TSNE,0.322827,0.322827,4,0,0.0,,,"k=4,metodo=ward"
26,trigramas,jerarquico,PCA,0.322256,0.322256,3,0,0.0,,,"k=3,metodo=average"
27,trigramas,jerarquico,PCA,0.322256,0.322256,3,0,0.0,,,"k=3,metodo=single"
28,trigramas,jerarquico,UMAP,0.313438,0.313438,3,0,0.0,,,"k=3,metodo=complete"
29,trigramas,jerarquico,TSNE,0.310717,0.310717,2,0,0.0,,,"k=2,metodo=ward"
30,trigramas,jerarquico,UMAP,0.305759,0.305759,3,0,0.0,,,"k=3,metodo=average"
31,trigramas,jerarquico,TSNE,0.30444,0.30444,2,0,0.0,,,"k=2,metodo=complete"
32,trigramas,jerarquico,UMAP,0.301609,0.301609,6,0,0.0,,,"k=6,metodo=ward"
33,trigramas,jerarquico,TSNE,0.3011,0.3011,3,0,0.0,,,"k=3,metodo=average"
34,trigramas,jerarquico,UMAP,0.299585,0.299585,6,0,0.0,,,"k=6,metodo=complete"
35,trigramas,jerarquico,UMAP,0.298372,0.298372,4,0,0.0,,,"k=4,metodo=average"
36,trigramas,jerarquico,UMAP,0.297401,0.297401,9,0,0.0,,,"k=9,metodo=average"
37,trigramas,jerarquico,TSNE,0.29317,0.29317,10,0,0.0,,,"k=10,metodo=ward"
38,trigramas,jerarquico,UMAP,0.292314,0.292314,7,0,0.0,,,"k=7,metodo=complete"
39,trigramas,jerarquico,TSNE,0.292279,0.292279,9,0,0.0,,,"k=9,metodo=ward"
40,trigramas,jerarquico,UMAP,0.288989,0.288989,10,0,0.0,,,"k=10,metodo=average"
41,trigramas,jerarquico,TSNE,0.288454,0.288454,5,0,0.0,,,"k=5,metodo=ward"
42,trigramas,jerarquico,TSNE,0.28836,0.28836,4,0,0.0,,,"k=4,metodo=complete"
43,trigramas,jerarquico,UMAP,0.287845,0.287845,2,0,0.0,,,"k=2,metodo=ward"
44,trigramas,jerarquico,PCA,0.287071,0.287071,2,0,0.0,,,"k=2,metodo=complete"
45,trigramas,jerarquico,TSNE,0.286202,0.286202,8,0,0.0,,,"k=8,metodo=ward"
46,trigramas,jerarquico,UMAP,0.286181,0.286181,8,0,0.0,,,"k=8,metodo=average"
47,trigramas,jerarquico,TSNE,0.285841,0.285841,4,0,0.0,,,"k=4,metodo=average"
48,trigramas,jerarquico,TSNE,0.285822,0.285822,6,0,0.0,,,"k=6,metodo=complete"
